SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
104929,293.936561,20.505681,56.124316,-0.024472,1825638761847632640,1825638761847632640,0.4984521981616824,2.006210432390612
104921,293.929521,20.509262,56.124233,-0.016969,1825638830567112576,1825638830567112576,0.880938759,1.1351526877250273
104920,293.929221,20.514342,56.128533,-0.01425,1825638830576204544,1825638830576204544,0.9013836527012928,1.1094055200614865
104923,293.931461,20.509804,56.125591,-0.018292,1825638834893124480,1825638834893124480,0.2286189893634069,4.374089846099466
104890,293.896082,20.547623,56.142494,0.029061,1825639861368329088,1825639861368329088,0.733083874,1.3641003921469428
104992,294.072827,20.584458,56.255291,-0.0975,1825640823430064512,1825640823430064512,0.2883668951906503,3.467804441764586
104883,293.873915,20.598409,56.176758,0.071908,1825643297333170304,1825643297333170304,0.4006205850241836,2.49612735186744
105456,294.711753,20.123853,56.14679,-0.845311,1825740745877497344,1825740745877497344,0.080480669,12.425344028887235
105567,294.823528,20.270573,56.326142,-0.864575,1825749365851840384,1825749365851840384,0.045846875,21.81173744121055
105357,294.620224,20.300436,56.258484,-0.6838,1825934981448549248,1825934981448549248,0.261047188,3.8307250411753144
105550,294.81022,20.533376,56.548869,-0.724492,1825945358109457152,1825945358109457152,0.1569119194408689,6.373002150272227
105131,294.290268,20.448772,56.236323,-0.341475,1825951749002189184,1825951749002189184,0.2013296520767838,4.966978235370002
105428,294.689969,20.569893,56.525345,-0.608481,1825957276625894400,1825957276625894400,1.0310974398164727,0.9698404451261098
105508,294.752518,20.595193,56.576149,-0.647058,1825957757659081472,1825957757659081472,0.1093405022011494,9.145741787067518
105410,294.663105,20.570935,56.513903,-0.586058,1825957895098818816,1825957895098818816,0.3803976289370663,2.62882816276818
105343,294.605535,20.594537,56.508019,-0.527517,1825961159276282112,1825961159276282112,0.4605826681534392,2.1711628967915453
105340,294.604074,20.634199,56.54191,-0.506867,1825961575906995712,1825961575906995712,0.2000314355393618,4.999214235020685
